n_objects,n_triangles,n_collisions,n_draw_calls,time_ns
26,312.0,0.0,25.98847926267281,1624355.619815668
46,552.0,0.0,45.975,2670560.845
86,1032.0,0.0,85.94623655913979,4738214.860215054
106,1272.0,0.0,105.93243243243244,5757164.364864865
126,1512.0,0.0,125.90566037735849,7123551.905660378
